"Marca temporal","¿Cuál es tu rango de edad?","¿Cuál es tu rango de ingreso mensual?","¿Cuántas aplicaciones bancarias o financieras utilizas activamente?","¿Conoces qué es una fintech?","¿Qué tipo de instituciones financiera utilizas con mayor frecuencia?","¿Cuáles Fintechs utilizas? (Selección múltiple)","Si utilizas fintechs, ¿qué te preocupa de usarlas? (Selección múltiple)","¿Dirías que prefieres Fintechs sobre Bancos tradicionales?","Si la anterior pregunta fue que tienes usos diferentes para Fintechs y Bancos Tradicionales responde que usos si no, escribe NA. ","Si has utilizado tanto Fintechs como bancos tradicionales, ¿qué factor influyó MÁS en tu preferencia?","¿Qué tan difícil te resulta completar una transacción típica (transferencia, pago de servicio) en tu app bancaria principal?","Pensando en la última vez que usaste tu app bancaria, ¿qué fue lo que más te FRUSTRÓ? (Selección múltiple)","Y ¿qué fue lo que más te GUSTÓ? (Selección múltiple)","Cuando tienes un problema con tu banco, ¿qué tipo de atención prefieres?","¿Qué tanto confías en tu institución financiera principal para manejar tu dinero y datos personales?","¿Has tenido alguna vez una preocupación de seguridad con una institución financiera? Si fue así, ¿qué la causó? (Selección múltiple)","¿Cuál es tu banco principal?","¿Qué te haría cambiar de banco? (Selección múltiple)","¿Qué tipo de beneficios valoras más de tu banco? (Selección múltiple, máximo 3)","¿Qué tan importante es para ti tener acceso fácil a sucursales físicas?"
"2026/05/05 4:36:30 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Si","Recompensas","2","Tiempos de carga;Login o autenticación","Seguridad (biometría, alertas)","Depende del tipo de problema","5","Fraude o cargo no autorizado","BBVA","Recompensas más atractivas;Mejores tasas","Cashback;Sin comisiones;Tasas de rendimiento","3"
"2026/05/05 4:36:38 p.m. GMT-6","56+","Más de $50,000MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Mercado pago","Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Rápidez","1","Difícil encontrar funciones","Seguridad (biometría, alertas);Nada en particular","Atención humana","3","App o web insegura","HSBC","Mejor atención;Mejores tasas;Que cuenten SIEMPRE con un telefono con atencion personal ( no chatbots)","Puntos canjeables;Beneficios de viaje;","4"
"2026/05/05 4:40:43 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank)","Falta de sucursales físicas","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Para mí solo tengo depósitos pequeños y en banco hago mis transacciones pienso que es más seguro ","Rápidez","1","Procesos con muchos pasos","Seguridad (biometría, alertas)","Atención humana","3","No he tenido ningún problema","Banamex","Comisiones más bajas;Mejor app;Mejores tasas","Puntos canjeables;Descuentos en comercios","4"
"2026/05/05 4:41:05 p.m. GMT-6","41-55","Más de $50,000MXN","4 o más","Si","Banca tradicional","Ninguno","No utilizo Fintechs","No","NA","Solo he usado Bancos ","1","Soporte difícil de contactar","Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","BBVA","Mala experiencia con mi banco actual","Puntos canjeables;Beneficios de viaje;Sin comisiones","2"
"2026/05/05 4:51:27 p.m. GMT-6","41-55","Prefiero no decir","1","No","Banca tradicional","Mercado pago","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA
","Rápidez","1","Soporte difícil de contactar","Funciones disponibles","Atención humana","2","Fraude o cargo no autorizado","BBVA","Comisiones más bajas","Puntos canjeables","5"
"2026/05/05 4:54:58 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","No","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Confianza institucional","1","Tiempos de carga;Errores o caídas;Login o autenticación","Velocidad;Funciones disponibles;Notificaciones útiles","Atención humana","4","Fraude o cargo no autorizado","BBVA","Comisiones más bajas;Mejor atención;Recompensas más atractivas;Mejores tasas","Cashback;Puntos canjeables;Acceso anticipado a productos","5"
"2026/05/05 5:06:57 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","3","He escuchado el término pero no estoy seguro","Ambos","Plata Card","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Recompensas","1","Errores o caídas","Diseño y facilidad de uso;Notificaciones útiles;Recompensas o cashback","Atención humana","4","Mal soporte ante un problema","Inbursa","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Recomendación cercana;Mejores tasas","Puntos canjeables;Descuentos en comercios;Sin comisiones","5"
"2026/05/05 5:07:06 p.m. GMT-6","41-55","Menos de $10,000 MXN","1","No","Banca tradicional","Nu (Nu Bank)","Seguridad de mi dinero","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Recompensas","3","Procesos con muchos pasos","Recompensas o cashback","Atención humana","3","Fraude o cargo no autorizado","Scotiabank","Recompensas más atractivas","Cashback","5"
"2026/05/05 5:14:57 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","No","Banca tradicional","Ninguno","Seguridad de mi dinero","No","Banco ","Confianza institucional","1","Tiempos de carga","Velocidad","Atención humana","3","Fraude o cargo no autorizado","BBVA","Recompensas más atractivas","Beneficios de viaje","4"
"2026/05/05 5:16:01 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","1","Si","Banca tradicional","Ninguno","Ninguna","No","Na","Confianza institucional","1","Nada me frustró","Diseño y facilidad de uso","Depende del tipo de problema","5","No he tenido ningún problema","Banamex","Mala experiencia con mi banco actual;Que no me solucione problemas ","Que no he tenido inconvenientes ","5"
"2026/05/05 5:25:54 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","3","Si","Ambos","MercadoPago ","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Fintechs para mejor rendimiento poco monto ","Recompensas","1","Por seguridad no me permitieron una transferencia y fuí al banco ","Nada en particular","Atención humana","3","Fuga o uso indebido de datos","BBVA","Comisiones más bajas;Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Sin comisiones;Tasas de rendimiento","4"
"2026/05/05 5:26:04 p.m. GMT-6","56+","$10,000MXN–$20,000MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","NA","No los uso","1","Nada me frustró","Diseño y facilidad de uso","Atención humana","4","No he tenido ningún problema","Banamex","Comisiones más bajas","Puntos canjeables","4"
"2026/05/05 5:29:12 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Banca tradicional","Ninguno","Regulación o respaldo institucional (IPAB)","No","NA","Confianza institucional","1","Tiempos de carga","Seguridad (biometría, alertas)","Atención humana","3","Fuga o uso indebido de datos","Banamex","Mejor atención;Recompensas más atractivas","Cashback;Descuentos en comercios;Tasas de rendimiento","2"
"2026/05/05 5:30:46 p.m. GMT-6","41-55","Menos de $10,000 MXN","2","No","Banca tradicional","Nu (Nu Bank)","Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Solo utilizo  para ahorro las fintechs","Atención al cliente","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas)","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Nada, estoy muy agusto","Descuentos en comercios","5"
"2026/05/05 5:32:34 p.m. GMT-6","56+","$20,000MXN–$50,000MXN","3","Si","Ambos","Nu (Nu Bank)","Seguridad de mi dinero","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Rápidez","1","Nada me frustró","Diseño y facilidad de uso","Asistente AI o chatbot","5","No he tenido ningún problema","Banco Azteca","Mala experiencia con mi banco actual","Ninguno","1"
"2026/05/05 5:37:30 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","No uso","No","NA","No he usado","1","Errores o caídas","Velocidad;Diseño y facilidad de uso;Funciones disponibles","Atención humana","5","Mal soporte ante un problema","Banamex","Recomendación cercana;Mejores tasas","Cashback;Sin comisiones;Tasas de rendimiento","5"
"2026/05/05 5:39:29 p.m. GMT-6","18-25","Más de $50,000MXN","1","No","Banca tradicional","Spin by Oxxo","Ninguna;","No","No","Rápidez","3","Errores o caídas;Login o autenticación","Funciones disponibles;Recompensas o cashback","Atención humana","4","Fraude o cargo no autorizado","BBVA","Mejor app;Recomendación cercana","Acceso anticipado a productos;Sin comisiones;Ninguno","5"
"2026/05/05 5:39:56 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","Que no uso Fintechs","1","Tiempos de carga","Diseño y facilidad de uso","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Mala experiencia con mi banco actual","Cashback;Beneficios de viaje;Sin comisiones","5"
"2026/05/05 5:41:06 p.m. GMT-6","18-25","Prefiero no decir","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","Confianza institucional","2","Tiempos de carga","Diseño y facilidad de uso","Atención humana","3","Fraude o cargo no autorizado","HSBC","Recomendación cercana","Acceso anticipado a productos;Descuentos en comercios;Tasas de rendimiento","5"
"2026/05/05 5:41:26 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Mercado pago","Riesgo tecnológico (caídas, hackeos)","No","NA","Confianza institucional","2","Tiempos de carga;Errores o caídas","Diseño y facilidad de uso;Funciones disponibles","Depende del tipo de problema","3","Fraude o cargo no autorizado","Banamex","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Sin comisiones;Tasas de rendimiento","5"
"2026/05/05 5:43:27 p.m. GMT-6","26-40","$10,000MXN–$20,000MXN","4 o más","Si","Ambos","Nu (Nu Bank);Mercado pago;Stori","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","El banco tradicional para mí nómina y resguardo, fintech para ahorros con ganancias mejores","No","1","Nada me frustró","Diseño y facilidad de uso","Atención humana","5","No he tenido ningún problema","Santander","Mejor app;Recompensas más atractivas","Ninguno","5"
"2026/05/05 5:44:09 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","Si","Fintechs","Nu (Nu Bank)","Seguridad de mi dinero;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","Si","na ","Comisiones bajas","1","Nada me frustró","Velocidad;Seguridad (biometría, alertas)","Atención humana","3","No he tenido ningún problema","Banamex","Comisiones más bajas;Mejor atención","Acceso anticipado a productos","5"
"2026/05/05 5:47:44 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","NA","Confianza institucional","1","Nada me frustró","Velocidad;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","BBVA","Recompensas más atractivas","Sin comisiones","4"
"2026/05/05 5:58:26 p.m. GMT-6","56+","Más de $50,000MXN","2","No","Banca tradicional","Nu (Nu Bank)","Seguridad de mi dinero","No","Na","Recompensas","1","Nada me frustró","Diseño y facilidad de uso","Atención humana","5","No he tenido ningún problema","BBVA","Mejor app","Puntos canjeables;Descuentos en comercios;Tasas de rendimiento","5"
"2026/05/05 6:05:45 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","4 o más","Si","Banca tradicional","Wise","Seguridad de mi dinero;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","NA","Comisiones bajas","1","Nada me frustró","Funciones disponibles","Atención humana","4","Fraude o cargo no autorizado","BBVA","Mejor atención;Mala experiencia con mi banco actual","Puntos canjeables;Sin comisiones;Tasas de rendimiento","5"
"2026/05/05 6:10:33 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","Atención al cliente","1","Tiempos de carga","Funciones disponibles","Atención humana","3","No he tenido ningún problema","BanCoppel ","Mala experiencia con mi banco actual","Puntos canjeables","2"
"2026/05/05 6:18:16 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Banca tradicional","Ninguno","Ninguna","Si","NA","Comisiones bajas","1","Difícil encontrar funciones","Velocidad;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","5","No he tenido ningún problema","Santander","Comisiones más bajas;Mejores tasas","Cashback;Descuentos en comercios;Tasas de rendimiento","4"
"2026/05/05 6:52:11 p.m. GMT-6","18-25","Prefiero no decir","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Falta de sucursales físicas;Regulación o respaldo institucional (IPAB)","No","NA","Confianza institucional","1","Login o autenticación","Funciones disponibles;Seguridad (biometría, alertas)","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Comisiones más bajas;Recomendación cercana;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Puntos canjeables;Tasas de rendimiento","5"
"2026/05/05 6:54:48 p.m. GMT-6","56+","Más de $50,000MXN","4 o más","Si","Banca tradicional","Ninguno","No uso ","No","N A","N A","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","BBVA","No cambiaría ","Tasas de rendimiento;Servicio","4"
"2026/05/05 6:55:15 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Ambos","Nu (Nu Bank);Spin by Oxxo","Seguridad de mi dinero;Falta de sucursales físicas;Regulación o respaldo institucional (IPAB)","No","NA","Recompensas","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","BBVA","Mejor atención;Mejores tasas;Mala experiencia con mi banco actual","Sin comisiones;Tasas de rendimiento","5"
"2026/05/05 6:57:46 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Banca tradicional","Ninguno","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","No","NA","Recompensas","1","Difícil encontrar funciones","Velocidad;Funciones disponibles","Depende del tipo de problema","4","Mal soporte ante un problema","BBVA","Mejor app;Recompensas más atractivas;Mejores tasas","Cashback;Beneficios de viaje;Tasas de rendimiento","3"
"2026/05/05 6:58:01 p.m. GMT-6","41-55","Más de $50,000MXN","4 o más","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank)","Ninguna","No","NA","Atención al cliente","2","Soporte difícil de contactar","Funciones disponibles","Atención humana","5","Phishing","BBVA","Comisiones más bajas","Puntos canjeables","5"
"2026/05/05 6:59:13 p.m. GMT-6","18-25","Prefiero no decir","1","No","Ambos","Nu (Nu Bank)","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","Si","NA","Rápidez","2","Errores o caídas;Login o autenticación;Soporte difícil de contactar","Velocidad;Diseño y facilidad de uso","Atención humana","3","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Mejor atención;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Tasas de rendimiento","5"
"2026/05/05 7:04:57 p.m. GMT-6","56+","Más de $50,000MXN","3","Si","Banca tradicional","Open Bank","Regulación o respaldo institucional (IPAB)","No","NA","Comisiones bajas","1","Errores o caídas","Diseño y facilidad de uso","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Mala experiencia con mi banco actual","Puntos canjeables","3"
"2026/05/05 7:16:02 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","N/A","Rápidez","1","Tiempos de carga","Diseño y facilidad de uso","Atención humana","3","No he tenido ningún problema","BBVA","Mejor app;Mejor atención","Cashback","5"
"2026/05/05 7:25:24 p.m. GMT-6","56+","$20,000MXN–$50,000MXN","4 o más","Si","Ambos","Nu (Nu Bank)","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Ahorro en Fintech y transacciones en banca tradicional ","Recompensas","1","Tiempos de carga","Seguridad (biometría, alertas)","Atención humana","4","Phishing","Santander","Recompensas más atractivas","Cashback;Descuentos en comercios;Tasas de rendimiento","2"
"2026/05/05 7:28:25 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","NA","1","Errores o caídas","Seguridad (biometría, alertas)","Atención humana","5","Fraude o cargo no autorizado","Banamex","Comisiones más bajas","Cashback;Puntos canjeables;Sin comisiones","5"
"2026/05/05 7:32:59 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Banca tradicional","Bitso","Soporte limitado;Regulación o respaldo institucional (IPAB)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","El banco tradicional para guardar una parte de mi dinero y la fintech principalmente para inversiones.","Confianza institucional","1","Nada me frustró","Funciones disponibles","Atención humana","5","No he tenido ningún problema","BBVA","Mejor atención;Recompensas más atractivas;Mala experiencia con mi banco actual","Sin comisiones","3"
"2026/05/05 7:43:40 p.m. GMT-6","41-55","Prefiero no decir","2","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","Si","Recompensas","1","Nada me frustró","Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","Banamex","Mejores tasas","Puntos canjeables;Descuentos en comercios;Sin comisiones","5"
"2026/05/05 8:05:14 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","3","No","Banca tradicional","Spin by Oxxo","Seguridad de mi dinero","No","NA","Rápidez","1","Tiempos de carga","Velocidad","Atención humana","5","Fraude o cargo no autorizado","Banorte","Mejores tasas","Sin comisiones","4"
"2026/05/05 8:05:16 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Banca tradicional","Nu (Nu Bank);Klar","Regulación o respaldo institucional (IPAB)","No","NA","Rápidez","4","Tiempos de carga;Procesos con muchos pasos","Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","Banorte","Mejor app;Mejor atención;Recompensas más atractivas","Beneficios de viaje","5"
"2026/05/05 8:06:16 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","Atención al cliente","1","Nada me frustró","Velocidad","Atención humana","3","Fraude o cargo no autorizado","BBVA","Comisiones más bajas;Mejor atención;Recompensas más atractivas","Cashback;Sin comisiones;Tasas de rendimiento","5"
"2026/05/05 8:12:04 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","3","No","Banca tradicional","Nu (Nu Bank)","Falta de sucursales físicas;Riesgo tecnológico (caídas, hackeos)","No","Na","Rápidez","3","Difícil encontrar funciones","Nada en particular","Atención humana","3","Mal soporte ante un problema","Banamex","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Mejores tasas","Cashback;Sin comisiones;Tasas de rendimiento","4"
"2026/05/05 8:15:02 p.m. GMT-6","18-25","Prefiero no decir","2","Si","Banca tradicional","Nu (Nu Bank);Klar","Soporte limitado","No","NA","Rápidez","2","Tiempos de carga","Diseño y facilidad de uso;Funciones disponibles","Atención humana","5","Phishing","Santander","Recomendación cercana","Cashback","5"
"2026/05/05 8:23:57 p.m. GMT-6","56+","Prefiero no decir","1","No","Banca tradicional","Mercado pago","Seguridad de mi dinero","No","NA","Rápidez","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","Santander","Necesidad de abrir otra cuenta","Ninguno","5"
"2026/05/05 8:24:17 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","1","No","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas","No","NA","Confianza institucional","3","Errores o caídas;Soporte difícil de contactar","Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","5","No he tenido ningún problema","Santander","Recomendación cercana;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Sin comisiones","4"
"2026/05/05 8:25:43 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank)","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales",".","Comisiones bajas","1","Soporte difícil de contactar","Funciones disponibles;Nada en particular","Atención humana","5","No he tenido ningún problema","BBVA","Recompensas más atractivas","Puntos canjeables","4"
"2026/05/05 8:30:40 p.m. GMT-6","56+","Más de $50,000MXN","3","Si","Ambos","Mercado pago","Seguridad de mi dinero","No","Na
","Atención al cliente","1","Nada me frustró","Seguridad (biometría, alertas)","Depende del tipo de problema","5","No he tenido ningún problema","Banco Azteca","Recompensas más atractivas","Sin comisiones;Tasas de rendimiento","5"
"2026/05/05 8:32:00 p.m. GMT-6","56+","$20,000MXN–$50,000MXN","2","Si","Banca tradicional","Ninguno","Ninguna","No","N/A","Confianza institucional","1","Errores o caídas","Diseño y facilidad de uso;Funciones disponibles","Depende del tipo de problema","5","Fraude o cargo no autorizado","Santander","Comisiones más bajas;Mejor app","Beneficios de viaje;Sin comisiones","3"
"2026/05/05 9:58:38 p.m. GMT-6","41-55","Prefiero no decir","2","No","Banca tradicional","Ninguno","Ninguna","No","na","No las uso","2","Nada me frustró","Diseño y facilidad de uso;Seguridad (biometría, alertas)","Depende del tipo de problema","5","No he tenido ningún problema","HSBC","Mejor atención","Sin comisiones","1"
"2026/05/05 9:58:44 p.m. GMT-6","56+","$10,000MXN–$20,000MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","Solo tengo banco","1","Nada me frustró","Diseño y facilidad de uso;Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","4","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejores tasas","Cashback;Puntos canjeables","3"
"2026/05/05 10:00:54 p.m. GMT-6","41-55","Más de $50,000MXN","4 o más","Si","Banca tradicional","Ninguno","Ninguna","No","NA","NA","1","Nada me frustró","Diseño y facilidad de uso","Depende del tipo de problema","4","Fraude o cargo no autorizado","Banamex","Recompensas más atractivas","Sin comisiones;Tasas de rendimiento","5"
"2026/05/05 10:20:21 p.m. GMT-6","18-25","Menos de $10,000 MXN","3","Si","Ambos","Nu (Nu Bank)","Falta de sucursales físicas","No","NA","Experiencia","1","Nada me frustró","Velocidad;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","BBVA","Recompensas más atractivas","Puntos canjeables;Descuentos en comercios;Beneficios de viaje","5"
"2026/05/05 10:49:40 p.m. GMT-6","56+","$10,000MXN–$20,000MXN","2","Si","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","N/A","Recompensas","1","Nada me frustró","Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Recompensas o cashback","Atención humana","5","Fraude o cargo no autorizado","Banamex","Mejor app;Mejor atención;Recomendación cercana;Mala experiencia con mi banco actual","Cashback;Puntos canjeables;Sin comisiones","5"
"2026/05/05 10:51:45 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","No","Ambos","Nu (Nu Bank)","Falta de sucursales físicas","Si","NA","Experiencia","1","Tiempos de carga","Velocidad;Diseño y facilidad de uso","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Mejor app","Cashback","4"
"2026/05/05 11:04:19 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Ambos","Klar","Seguridad de mi dinero;Falta de sucursales físicas;Regulación o respaldo institucional (IPAB)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Transacciones, pagos y ahorros","Comisiones bajas","2","Procesos con muchos pasos;Soporte difícil de contactar","Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","2","Fraude o cargo no autorizado","BBVA","Mejor app;Mejor atención;Recompensas más atractivas;Mala experiencia con mi banco actual","Cashback;Descuentos en comercios;Sin comisiones","5"
"2026/05/05 11:22:00 p.m. GMT-6","18-25","Menos de $10,000 MXN","3","No","Banca tradicional","Nu (Nu Bank)","Seguridad de mi dinero;Falta de sucursales físicas;Riesgo tecnológico (caídas, hackeos)","Si","N A","Confianza institucional","4","Tiempos de carga;Procesos con muchos pasos;Difícil encontrar funciones","Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","Banamex","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Cashback","4"
"2026/05/06 6:34:52 a.m. GMT-6","18-25","Prefiero no decir","2","Si","Ambos","Nu (Nu Bank);Mercado pago;","Seguridad de mi dinero;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","NA","Portabilidad","1","Tiempos de carga;Errores o caídas","Funciones disponibles","Atención humana","4","Mal soporte ante un problema","Banamex","Mala experiencia con mi banco actual","Acceso anticipado a productos","5"
"2026/05/06 7:00:55 a.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Banca tradicional","Ninguno","Ninguna","No","NA","Confianza institucional","1","Tiempos de carga","Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles","Atención humana","5","No he tenido ningún problema","Banamex","Mejor app;Recompensas más atractivas;Mejores tasas","Acceso anticipado a productos;Descuentos en comercios;Tasas de rendimiento","5"
"2026/05/06 7:06:29 a.m. GMT-6","41-55","Más de $50,000MXN","4 o más","Si","Banca tradicional","Mercado pago;Finsus, Kubo","Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Bancos para operaciones tradicionales, fintechs para pagos e inversión de corto plazo ","Confianza institucional","1","Difícil encontrar funciones","Notificaciones útiles","Atención humana","4","Fraude o cargo no autorizado","HSBC","Comisiones más bajas","Puntos canjeables;Beneficios de viaje","2"
"2026/05/06 8:13:52 a.m. GMT-6","56+","$10,000MXN–$20,000MXN","2","No","Banca tradicional","Mercado pago;Spin by Oxxo","Seguridad de mi dinero;Regulación o respaldo institucional (IPAB)","No","NA","Rápidez","2","Nada me frustró","Diseño y facilidad de uso","Atención humana","4","No he tenido ningún problema","Banamex","Comisiones más bajas","Cashback;Descuentos en comercios","5"
